iter	Passed	Remaining
0	0	664
1	1	609
2	1	611
3	2	587
4	2	573
5	3	572
6	5	760
7	5	735
8	6	732
9	7	713
10	7	694
11	8	680
12	8	669
13	9	659
14	9	647
15	10	642
16	10	634
17	11	626
18	12	619
19	12	615
20	13	611
21	13	607
22	14	601
23	15	628
24	16	624
25	16	622
26	17	619
27	17	614
28	18	631
29	19	626
30	19	622
31	20	617
32	20	614
33	21	610
34	22	611
35	23	639
36	24	637
37	25	644
38	25	640
39	26	642
40	27	638
41	27	636
42	28	635
43	29	633
44	29	629
45	30	627
46	30	624
47	31	622
48	31	619
49	32	616
50	32	613
51	33	613
52	34	611
53	34	609
54	35	618
55	36	616
56	37	613
57	37	609
58	37	605
59	38	602
60	39	600
61	39	597
62	40	595
63	40	596
64	42	614
65	43	615
66	44	613
67	44	611
68	45	608
69	45	606
70	46	604
71	46	602
72	47	600
73	47	599
74	49	606
75	50	609
76	50	606
77	51	604
78	51	601
79	52	599
80	52	598
81	53	596
82	54	599
83	54	597
84	55	595
85	55	593
86	56	591
87	58	602
88	58	600
89	59	599
90	60	602
91	61	602
92	61	601
93	62	599
94	62	597
95	63	595
96	63	592
97	64	591
98	64	589
99	65	588
100	65	586
101	66	589
102	67	588
103	68	590
104	69	592
105	70	591
106	70	589
107	71	587
108	71	585
109	72	584
110	72	583
111	73	581
112	74	585
113	75	583
114	75	582
115	76	582
116	76	580
117	77	578
118	77	576
119	78	575
120	79	579
121	80	577
122	80	575
123	81	574
124	81	573
125	82	573
126	83	571
127	83	570
128	84	568
129	84	567
130	85	566
131	86	565
132	86	565
133	87	563
134	87	562
135	88	560
136	89	561
137	89	559
138	90	563
139	91	561
140	91	560
141	92	557
142	92	555
143	93	554
144	93	552
145	94	551
146	94	550
147	95	549
148	96	548
149	96	547
150	97	546
151	97	545
152	98	545
153	99	545
154	99	544
155	100	543
156	100	541
157	101	540
158	101	538
159	102	537
160	102	534
161	103	534
162	103	533
163	104	531
164	104	530
165	105	529
166	105	527
167	106	526
168	106	524
169	107	523
170	107	521
171	108	520
172	108	519
173	109	518
174	109	517
175	110	515
176	110	514
177	111	513
178	111	512
179	112	511
180	112	509
181	113	510
182	114	509
183	114	508
184	115	506
185	115	505
186	116	504
187	116	503
188	117	502
189	117	501
190	118	500
191	118	499
192	119	498
193	119	496
194	120	495
195	120	495
196	121	494
197	121	493
198	122	492
199	122	491
200	123	489
201	123	488
202	124	487
203	124	486
204	125	485
205	125	483
206	126	482
207	126	481
208	126	480
209	127	479
210	128	479
211	128	478
212	129	477
213	129	476
214	130	477
215	131	476
216	131	475
217	132	474
218	132	474
219	133	473
220	133	472
221	134	471
222	134	470
223	136	473
224	137	472
225	137	471
226	138	470
227	138	470
228	139	469
229	139	468
230	140	467
231	141	467
232	141	466
233	142	465
234	142	464
235	143	465
236	144	464
237	144	464
238	145	463
239	146	462
240	146	461
241	147	461
242	147	460
243	148	460
244	148	459
245	149	457
246	149	457
247	151	457
248	151	456
249	151	455
250	152	455
251	152	454
252	153	453
253	154	452
254	154	451
255	155	450
256	155	450
257	156	449
258	156	448
259	157	447
260	157	446
261	158	447
262	159	446
263	159	445
264	160	444
265	160	443
266	161	444
267	162	443
268	162	442
269	163	442
270	164	442
271	164	441
272	165	441
273	166	440
274	167	440
275	167	440
276	168	440
277	169	439
278	169	438
279	170	437
280	170	436
281	171	435
282	171	434
283	172	434
284	172	433
285	173	433
286	174	433
287	175	432
288	176	433
289	176	432
